"Drivers","FuelC","Income","Miles","MPC","Pop","Tax","Dlic","Fuel"
3559897,2382507,23471,94440,12737,3451586,18,1031.38006701847,690.264417574993
472211,235400,30064,13628,7639.16,457728,8,1031.64106194072,514.279222595078
3550367,2428430,25578,55245,9411.55,3907526,18,908.597153288295,621.475071439064
1961883,1358174,22257,98132,11268.4,2072622,21.7,946.570575821351,655.292667934626
21623793,14691753,32275,168771,8923.89,25599275,18,844.703336324955,573.9128549539
3287922,2048664,32949,85854,9722.73,3322455,22,989.606179767672,616.61151166833
2650374,1458279,40640,20910,9021.35,2651452,25,999.593430316672,549.992607823939
564099,382043,31255,5814,10891.3,610269,23,924.344838095987,626.023933707922
328094,148769,37383,1534,6555.94,468575,20,700.195272901883,317.492397161607
12743403,7471117,28145,117299,9531.23,12741821,13.6,1000.12415807756,586.346096056443
5833802,4693703,27940,115534,13248.6,6250708,7.5,933.302595481984,750.907417207779
787820,404684,28221,4278,7108.75,949184,16,829.997134380689,426.349369563752
896666,609051,24180,46310,10879.4,969166,25,925.193413718599,628.427947327909
7809500,5015217,32259,138359,8239.09,9530327,19,819.436730764852,526.237662149473
4116924,3120985,27011,94038,12916.9,4682392,15,879.235228490054,666.536462560162
1978748,1475812,26723,113437,10258.4,2281002,20,867.490690494791,647.001624724573
1871301,1236951,27816,134725,10656.7,2058489,21,909.06533870232,600.902409485793
2756634,2085629,24294,78914,11301.7,3161283,16.4,871.99848922099,659.741313890594
2718209,2151437,23334,60829,9505.31,3394854,20,800.685095736076,633.734764440533
942556,590093,25623,22672,11320,1010273,22,932.971582928575,584.09261655018
3451966,2460545,33872,30622,9673.67,4085342,23.5,844.963775370581,602.286173348523
4610666,2720510,37992,35408,8310.86,5008007,21,920.65885690655,543.232068166039
6976982,4904689,29612,121790,9959.45,7628170,19,914.633785036254,642.970594520049
2961236,2545530,32101,132280,10728.3,3782817,20,782.812385584605,672.919149935088
1859487,1476477,20993,73701,12286.8,2160165,18.4,860.807854955524,683.501954711793
3862300,2958880,27445,124324,12012.8,4292175,17,899.846814260835,689.366113916604
683351,467567,22569,69503,10965,701423,27,974.235233233013,666.597759126804
1267284,812247,27829,92766,10567.4,1314974,24.5,963.733123240459,617.690539889002
1420714,945643,30529,38658,9796.15,1537896,24.75,923.803690236531,614.893985028897
941829,662475,33332,15508,9923.45,960593,19.5,980.466232837424,689.652121137672
5715089,3911837,36983,36175,8099.59,6545471,10.5,873.136402254322,597.640261487676
1231701,885829,22203,59883,12571.4,1370134,18.5,898.963896961903,646.527273974662
11014805,5536612,34547,112961,6876.49,14797284,22,744.380184904203,374.164069568442
5884651,4060592,27194,101195,11186,6291182,24.1,935.380823508206,645.44182635314
455921,334544,25068,86591,11322.4,502176,21,907.890858981712,666.188746574906
7736115,5028276,28400,117267,9371.29,8789530,22,880.151157115341,572.075639994402
2172394,1751701,23517,112694,12612.9,2665966,17,814.861854952389,657.060517651013
2534464,1487269,28350,66784,9907.26,2673283,24,948.07171556472,556.345512240941
8226202,5024671,29539,119985,8092.07,9693987,26,848.588098993737,518.328629902227
660435,399113,29685,6053,7625,827474,29,798.13383864629,482.326937160563
2849885,2217141,24321,66167,11469.6,3115130,16,914.85267067506,711.733057689406
544997,402472,26115,83560,11298.9,577391,22,943.895904161998,697.052777060952
4188317,2837567,26239,87826,11610.6,4445987,20,942.044364952034,638.231060954519
13045727,10637488,27871,300767,10458.4,15618097,20,835.295554893788,681.100136591545
1495887,945531,23907,42208,11291.3,1598531,24.5,935.788545858666,591.499945887818
515348,331183,26901,14291,15688.4,479265,20,1075.28820172556,691.02271186087
4920753,3765718,31162,70721,10259.5,5529436,17.5,889.91951439532,681.031121438063
4237845,2622633,31528,80985,8981.59,4552631,23,930.856245542413,576.069749558003
1316955,818516,21915,36997,10946.1,1455370,25.65,904.893600939967,562.410933302184
3667497,2418289,28232,112663,10337.4,4156609,27.3,882.329081229435,581.793716945712
370713,321847,27230,27292,17494.9,381882,14,970.752745612519,842.791752426142
