school,cost
Albright College,40300
University of Louisiana at Monroe,20851
Lyon College,41396
Pacific Islands University,12203
Kenyon College,74550
Saint Augustine's University,32073
Baptist Bible College,24641
Michigan State University,28626
University of Kansas,26204
Marietta College,49601
The University of Texas Rio Grande Valley,14250
Granite State College,18834
Missouri State University-Springfield,21859
Centre College,56645
Westmont College,64240
Presentation College,35087
Davis & Elkins College,42233
University of Memphis,24139
Colby-Sawyer College,61418
The Baptist College of Florida,19926
Saint Anthony College of Nursing,39624
Syracuse University,72780
Kansas State University,24626
Augusta University,20115
Culver-Stockton College,40296
Husson University,31303
Texas A&M University-San Antonio,21104
University of North Florida,19469
Seattle Pacific University,60834
Covenant College,49420
Roberts Wesleyan College,45599
Jewish Theological Seminary of America,79512
Southwest Minnesota State University,20481
Reformed University,21060
Texas A & M International University,13408
St Olaf College,62880
St. Mary's University,42354
University of Nebraska at Omaha,19797
Goshen College,44994
Maryville University of Saint Louis,46850
Baker University,44473
Dickinson College,73650
University of Minnesota-Twin Cities,27654
University of St Thomas,42652
Denison University,69128
Valparaiso University,53847
Robert Morris University,47724
Arkansas Tech University,19361
Tennessee Technological University,24458
Vassar College,75203
