SES	Sex	IQ	CP	PE	number
L	M	L	Yes	Low	4
L	M	L	Yes	high	13
L	M	L	No	Low	349
L	M	L	No	high	64
L	M	LM	Yes	Low	9
L	M	LM	Yes	high	33
L	M	LM	No	Low	207
L	M	LM	No	high	72
L	M	UM	Yes	Low	12
L	M	UM	Yes	high	38
L	M	UM	No	Low	126
L	M	UM	No	high	54
L	M	H	Yes	Low	10
L	M	H	Yes	high	49
L	M	H	No	Low	67
L	M	H	No	high	43
L	F	L	Yes	Low	5
L	F	L	Yes	high	9
L	F	L	No	Low	454
L	F	L	No	high	44
L	F	LM	Yes	Low	5
L	F	LM	Yes	high	14
L	F	LM	No	Low	312
L	F	LM	No	high	47
L	F	UM	Yes	Low	8
L	F	UM	Yes	high	20
L	F	UM	No	Low	216
L	F	UM	No	high	35
