price,units,age,lot,parking,sqft,payroll,salary
90300,4,0.82,4635,0,4266,321567,54223
384000,20,13,17798,0,14391,308055,58208
157500,5,66,5913,0,6615,304127,54623
676200,26,64,7750,6,34144,317389,55837
165000,5,55,5150,0,6120,312290,57840
300000,10,65,12506,0,14550,289986,51355
108750,4,82,7160,0,3040,266320,48248
276538,11,23,5120,0,7881,283048,50965
420000,20,18,11745,20,12600,265559,48304
950000,62,71,21000,3,39448,322200,58770
560000,26,74,11221,0,30000,258014,45753
268000,13,56,7818,13,8088,271933,49333
290000,9,76,4900,0,11315,332970,58388
173200,6,21,5424,6,4461,291336,51125
323650,11,24,11834,8,9000,322758,60370
162500,5,19,5246,5,3828,383804,71195
353500,20,62,11223,2,13680,299451,53718
134400,4,70,5834,0,4680,293587,52304
187000,8,19,9075,0,7392,309948,56152
155700,4,57,5280,0,6030,298649,48248
93600,4,82,6864,0,3840,294146,54351
110000,4,50,4510,0,3092,268661,46146
573200,14,10,11192,0,23704,279107,53841
79300,4,82,7425,0,3876,298545,54753
272000,5,82,7500,0,9542,266082,48388
