community,pctBlack,distance,YesVotes,NumVotes,propYes,InFavor
Carthage,58.4,17,61,110,0.5545454545454546,TRUE
Cederville,92.4,7,0,15,0,FALSE
Five Mile Creek,18.28,15,4,42,0.09523809523809523,FALSE
Greensboro,59.38,0,1790,1804,0.9922394678492239,TRUE
Harrison,55.51,7,0,15,0,FALSE
Havana,58.4,12,16,68,0.23529411764705882,FALSE
Hollow Square,83.39,2,31,42,0.7380952380952381,TRUE
Macon,94.54,9,87,154,0.564935064935065,TRUE
Newbern,88.54,0,107,118,0.9067796610169492,TRUE
New Prospect,77.19,4,90,102,0.8823529411764706,TRUE
Warren's Store,38.75,7,6,23,0.2608695652173913,FALSE
